Data Visulization, Map, System deployment, Exploration
Tangible User Interface, Interactive Techiniques, User Generated Data, Exploration
Virtual Reality, Simulation, Multi-Input Modality, Real-world problem
Virtual Reality, Simulation, Public Space User Study, Exploration
Virtual Reality, Studies for the blinds, Spatial Sounds, Problem Solving
Virtual Reality, Target Aquasition, Motor Skills, Studies
Car, Motor Skills, Assistantance, Studies
Voice and Speech, Training, System deployment, Problem Solving
Voice Jamming, Wearable, Privacy, Real world problem and solving
Virtual Reality, Haptics, String based methods, Hardwares, Explorations with solution
Virtual Reality, Cross-Device Interactions, Interactive Techniques, Exploration
Wearables, Hardware, Interactive Techniques, Explorations
